[2023-12-22T22:35:21.196+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: batch_layer.batch_0 manual__2023-12-22T22:35:16.853439+00:00 [queued]>
[2023-12-22T22:35:21.201+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: batch_layer.batch_0 manual__2023-12-22T22:35:16.853439+00:00 [queued]>
[2023-12-22T22:35:21.202+0000] {taskinstance.py:2171} INFO - Starting attempt 1 of 2
[2023-12-22T22:35:21.225+0000] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): batch_0> on 2023-12-22 22:35:16.853439+00:00
[2023-12-22T22:35:21.230+0000] {standard_task_runner.py:60} INFO - Started process 751 to run task
[2023-12-22T22:35:21.233+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'batch_layer', 'batch_0', 'manual__2023-12-22T22:35:16.853439+00:00', '--job-id', '16', '--raw', '--subdir', 'DAGS_FOLDER/BatchLayerDag.py', '--cfg-path', '/tmp/tmpnoo_waou']
[2023-12-22T22:35:21.235+0000] {standard_task_runner.py:88} INFO - Job 16: Subtask batch_0
[2023-12-22T22:35:21.293+0000] {task_command.py:423} INFO - Running <TaskInstance: batch_layer.batch_0 manual__2023-12-22T22:35:16.853439+00:00 [running]> on host f9bc372cbc19
[2023-12-22T22:35:21.362+0000] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='airflow@example.com' AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='batch_layer' AIRFLOW_CTX_TASK_ID='batch_0' AIRFLOW_CTX_EXECUTION_DATE='2023-12-22T22:35:16.853439+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-12-22T22:35:16.853439+00:00'
[2023-12-22T22:35:21.434+0000] {hive.py:475} INFO - USE `finnhub_db`
[2023-12-22T22:35:21.494+0000] {hive.py:475} INFO - 
                SELECT *
                FROM finnhub_table
                WHERE  t between 1702848258958 AND 1702848311837
            
[2023-12-22T22:35:22.595+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848258958, 0.0005)
[2023-12-22T22:35:22.595+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848259251, 0.00119)
[2023-12-22T22:35:22.596+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848270970, 0.00684)
[2023-12-22T22:35:22.597+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300006, 0.00243)
[2023-12-22T22:35:22.597+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300006, 0.00238)
[2023-12-22T22:35:22.598+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300007, 0.00205)
[2023-12-22T22:35:22.599+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300007, 0.00169)
[2023-12-22T22:35:22.599+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300007, 0.00252)
[2023-12-22T22:35:22.600+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00106)
[2023-12-22T22:35:22.600+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00183)
[2023-12-22T22:35:22.601+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00247)
[2023-12-22T22:35:22.601+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00253)
[2023-12-22T22:35:22.602+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00164)
[2023-12-22T22:35:22.602+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848271052, 0.00204)
[2023-12-22T22:35:22.603+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300009, 0.00121)
[2023-12-22T22:35:22.604+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300010, 0.00164)
[2023-12-22T22:35:22.604+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300010, 0.00068)
[2023-12-22T22:35:22.605+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300012, 0.00045)
[2023-12-22T22:35:22.606+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300012, 0.00065)
[2023-12-22T22:35:22.606+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300012, 0.00248)
[2023-12-22T22:35:22.607+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300013, 0.00228)
[2023-12-22T22:35:22.608+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300014, 0.00054)
[2023-12-22T22:35:22.609+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300015, 0.00138)
[2023-12-22T22:35:22.609+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300015, 0.0023)
[2023-12-22T22:35:22.610+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848271360, 0.00025)
[2023-12-22T22:35:22.610+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300017, 0.00134)
[2023-12-22T22:35:22.611+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300019, 0.0023)
[2023-12-22T22:35:22.611+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300022, 0.0017)
[2023-12-22T22:35:22.611+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300297, 0.04003)
[2023-12-22T22:35:22.612+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300347, 0.0006)
[2023-12-22T22:35:22.612+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848301347, 0.00952)
[2023-12-22T22:35:22.613+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848301561, 0.01255)
[2023-12-22T22:35:22.613+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848303268, 0.00298)
[2023-12-22T22:35:22.613+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848303700, 0.00022)
[2023-12-22T22:35:22.614+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848304149, 0.00023)
[2023-12-22T22:35:22.614+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848273443, 0.02361)
[2023-12-22T22:35:22.614+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848304424, 0.00028)
[2023-12-22T22:35:22.615+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848304454, 0.03039)
[2023-12-22T22:35:22.615+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848304722, 0.01828)
[2023-12-22T22:35:22.615+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848304976, 0.08607)
[2023-12-22T22:35:22.616+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848305234, 0.00604)
[2023-12-22T22:35:22.616+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848305450, 0.00117)
[2023-12-22T22:35:22.617+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848305583, 0.00023)
[2023-12-22T22:35:22.617+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848305925, 0.0005)
[2023-12-22T22:35:22.617+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848306257, 0.00492)
[2023-12-22T22:35:22.618+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848308010, 0.00162)
[2023-12-22T22:35:22.618+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848275111, 0.00119)
[2023-12-22T22:35:22.618+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848308299, 0.00428)
[2023-12-22T22:35:22.619+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848309335, 0.00722)
[2023-12-22T22:35:22.619+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848309487, 0.00144)
[2023-12-22T22:35:22.620+0000] {logging_mixin.py:188} INFO - (41984.08, 'BINANCE', 'BTCUSDT', 1702848310770, 0.00217)
[2023-12-22T22:35:22.620+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848311664, 0.01543)
[2023-12-22T22:35:22.620+0000] {logging_mixin.py:188} INFO - (41984.08, 'BINANCE', 'BTCUSDT', 1702848311837, 0.00252)
[2023-12-22T22:35:22.621+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848275334, 0.00024)
[2023-12-22T22:35:22.621+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848275771, 0.00082)
[2023-12-22T22:35:22.622+0000] {logging_mixin.py:188} INFO - (41978.0, 'BINANCE', 'BTCUSDT', 1702848278053, 0.00047)
[2023-12-22T22:35:22.622+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848280478, 0.00281)
[2023-12-22T22:35:22.622+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848280589, 0.00038)
[2023-12-22T22:35:22.623+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848259354, 0.00042)
[2023-12-22T22:35:22.623+0000] {logging_mixin.py:188} INFO - (41971.11, 'BINANCE', 'BTCUSDT', 1702848280889, 0.026)
[2023-12-22T22:35:22.623+0000] {logging_mixin.py:188} INFO - (41971.11, 'BINANCE', 'BTCUSDT', 1702848281247, 0.00476)
[2023-12-22T22:35:22.624+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848281620, 0.05597)
[2023-12-22T22:35:22.624+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848281620, 0.00112)
[2023-12-22T22:35:22.624+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848282012, 0.00121)
[2023-12-22T22:35:22.625+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848282447, 0.00116)
[2023-12-22T22:35:22.625+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848282447, 0.00185)
